customerID,MonthlyCharges,tenure,Contract,InternetService,PaymentMethod,numTechTickets,numAdminTickets,Churn,ChurnProbability,RiskTier,TopRiskDriver1,NextBestAction
7590-VHVEG,29.85,1,Month-to-month,DSL,Electronic check,0,0,No,0.7973993392429166,Critical,Tenure,Contract Upgrade Incentive
5575-GNVDE,56.95,34,One year,DSL,Mailed check,0,0,No,0.0613744338453531,Low,N/A,N/A
7795-CFOCW,42.3,45,One year,DSL,Bank transfer (automatic),3,0,No,0.6934699978728883,High,Numtechtickets,Proactive Tech Support Outreach
1452-KIOVK,89.1,22,Month-to-month,Fiber optic,Credit card (automatic),0,0,No,0.47258043787576,High,Internetservice Fiber Optic,Contract Upgrade Incentive
6713-OKOMC,29.75,10,Month-to-month,DSL,Mailed check,0,0,No,0.6056817474808085,High,Tenure,Contract Upgrade Incentive
6388-TABGU,56.15,62,One year,DSL,Bank transfer (automatic),0,0,No,0.009531607146258472,Low,N/A,N/A
9763-GRSKD,49.95,13,Month-to-month,DSL,Mailed check,0,1,No,0.40546652033845976,High,Tenure,Contract Upgrade Incentive
7469-LKBCI,18.95,16,Two year,No,Credit card (automatic),0,0,No,0.034220292948005215,Low,N/A,N/A
8091-TTVAX,100.35,58,One year,Fiber optic,Credit card (automatic),0,0,No,0.015454411089806361,Low,N/A,N/A
5129-JLPIS,105.5,25,Month-to-month,Fiber optic,Electronic check,0,0,No,0.4138345932896332,High,Internetservice Fiber Optic,Contract Upgrade Incentive
3655-SNQYZ,113.25,69,Two year,Fiber optic,Credit card (automatic),0,0,No,0.0008260284974482264,Low,N/A,N/A
8191-XWSZG,20.65,52,One year,No,Mailed check,0,0,No,0.017019300136438056,Low,N/A,N/A
9959-WOFKT,106.7,71,Two year,Fiber optic,Bank transfer (automatic),4,0,No,0.1917191445125896,Low,N/A,N/A
4183-MYFRB,90.05,21,Month-to-month,Fiber optic,Electronic check,0,0,No,0.6497477247695969,High,Internetservice Fiber Optic,Contract Upgrade Incentive
1680-VDCWW,19.8,12,One year,No,Bank transfer (automatic),0,2,No,0.13496400992735164,Low,N/A,N/A
3638-WEABW,59.9,58,Two year,DSL,Credit card (automatic),0,1,No,0.0029230442191393526,Low,N/A,N/A
6322-HRPFA,59.6,49,Month-to-month,DSL,Credit card (automatic),3,0,No,0.6810946478153064,High,Numtechtickets,Proactive Tech Support Outreach
6865-JZNKO,55.3,30,Month-to-month,DSL,Bank transfer (automatic),0,0,No,0.236111131464291,Low,N/A,N/A
5248-YGIJN,90.25,72,Two year,DSL,Credit card (automatic),0,1,No,0.0003521528957648316,Low,N/A,N/A
